number,Temp,Humd,Press
189,17.66,76.32,1012.61
190,17.65,76.34,1012.59
191,17.65,76.36,1012.59
192,17.65,76.39,1012.62
193,17.64,76.41,1012.66
194,17.64,76.44,1012.65
195,17.62,76.46,1012.63
196,17.62,76.48,1012.64
197,17.61,76.5,1012.67
198,17.6,76.53,1012.69
199,17.6,76.55,1012.7
200,17.59,76.57,1012.69
201,17.59,76.59,1012.7
202,17.59,76.61,1012.67
203,17.58,76.64,1012.69
204,17.57,76.66,1012.69
205,17.57,76.68,1012.69
206,17.57,76.7,1012.66
207,17.56,76.73,1012.7
208,17.55,76.75,1012.66
209,17.55,76.77,1012.67
210,17.55,76.79,1012.68
211,17.54,76.8,1012.67
212,17.54,76.82,1012.64
213,17.54,76.84,1012.66
214,17.53,76.86,1012.63
215,17.52,76.88,1012.59
216,17.51,76.9,1012.6
217,17.51,76.91,1012.57
218,17.51,76.93,1012.53
219,17.51,76.95,1012.56
220,17.5,76.97,1012.53
221,17.5,76.99,1012.55
222,17.49,77.01,1012.56
223,17.49,77.03,1012.56
224,17.48,77.05,1012.55
225,17.48,77.08,1012.56
226,17.48,77.09,1012.56
227,17.47,77.11,1012.55
228,17.47,77.12,1012.56
229,17.47,77.14,1012.57
230,17.46,77.16,1012.55
231,17.45,77.17,1012.59
232,17.46,77.19,1012.56
233,17.45,77.21,1012.55
234,17.45,77.22,1012.56
235,17.44,77.24,1012.57
236,17.43,77.25,1012.56
237,17.44,77.28,1012.56
238,17.43,77.3,1012.53
239,17.42,77.3,1012.53
240,17.42,77.33,1012.51
241,17.42,77.35,1012.53
242,17.41,77.37,1012.53
243,17.41,77.37,1012.51
244,17.41,77.39,1012.53
245,17.4,77.41,1012.5
246,17.4,77.42,1012.51
247,17.4,77.44,1012.51
248,17.39,77.45,1012.53
249,17.38,77.47,1012.49
250,17.38,77.49,1012.51
251,17.38,77.5,1012.51
252,17.38,77.51,1012.51
253,17.38,77.53,1012.48
254,17.37,77.54,1012.51
255,17.37,77.56,1012.53
256,17.37,77.58,1012.53
257,17.36,77.59,1012.51
258,17.37,77.6,1012.52
259,17.36,77.62,1012.52
260,17.35,77.63,1012.52
261,17.36,77.64,1012.52
262,17.35,77.66,1012.54
263,17.34,77.67,1012.54
264,17.34,77.7,1012.54
265,17.35,77.72,1012.56
266,17.34,77.73,1012.55
267,17.33,77.75,1012.58
268,17.33,77.78,1012.6
269,17.32,77.81,1012.55
270,17.32,77.83,1012.6
271,17.32,77.85,1012.6
272,17.32,77.87,1012.64
273,17.32,77.9,1012.61
274,17.32,77.92,1012.64
275,17.31,77.96,1012.64
276,17.31,77.99,1012.63
277,17.31,78,1012.66
278,17.3,78.02,1012.67
279,17.3,78.04,1012.63
280,17.31,78.05,1012.65
281,17.3,78.08,1012.62
282,17.31,78.09,1012.66
283,17.3,78.12,1012.64
284,17.3,78.13,1012.64
285,17.29,78.15,1012.64
286,17.29,78.17,1012.63
287,17.28,78.19,1012.59
288,17.28,78.2,1012.59
289,17.28,78.21,1012.59
290,17.28,78.23,1012.62
291,17.28,78.24,1012.59
292,17.27,78.24,1012.58
293,17.27,78.26,1012.61
294,17.27,78.28,1012.6
295,17.26,78.29,1012.58
296,17.27,78.3,1012.58
297,17.26,78.32,1012.59
298,17.27,78.33,1012.56
299,17.25,78.34,1012.59
300,17.26,78.36,1012.6
301,17.26,78.37,1012.62
302,17.26,78.38,1012.66
303,17.26,78.39,1012.63
304,17.25,78.41,1012.62
305,17.24,78.42,1012.61
306,17.25,78.44,1012.64
307,17.24,78.45,1012.63
308,17.24,78.46,1012.65
309,17.24,78.48,1012.65
310,17.24,78.48,1012.65
311,17.24,78.49,1012.65
312,17.24,78.5,1012.68
313,17.24,78.51,1012.62
314,17.23,78.53,1012.63
315,17.23,78.54,1012.65
316,17.24,78.55,1012.65
317,17.23,78.56,1012.65
318,17.23,78.57,1012.63
319,17.22,78.57,1012.65
320,17.22,78.59,1012.68
321,17.21,78.6,1012.65
322,17.22,78.62,1012.68
323,17.21,78.63,1012.65
324,17.21,78.64,1012.66
325,17.21,78.66,1012.69
326,17.21,78.67,1012.7
327,17.21,78.68,1012.66
328,17.2,78.69,1012.64
329,17.2,78.71,1012.67
330,17.2,78.72,1012.67
331,17.2,78.73,1012.69
332,17.2,78.73,1012.68
333,17.2,78.74,1012.7
334,17.2,78.76,1012.72
335,17.19,78.76,1012.68
336,17.2,78.78,1012.73
337,17.19,78.78,1012.73
338,17.2,78.79,1012.75
339,17.19,78.8,1012.74
340,17.2,78.81,1012.74
341,17.18,78.82,1012.73
342,17.19,78.83,1012.74
343,17.18,78.84,1012.76
344,17.18,78.85,1012.7
345,17.18,78.86,1012.75
346,17.18,78.86,1012.72
347,17.18,78.87,1012.69
348,17.18,78.88,1012.68
349,17.17,78.9,1012.69
350,17.17,78.9,1012.67
351,17.17,78.91,1012.67
352,17.16,78.92,1012.63
353,17.16,78.93,1012.67
354,17.17,78.94,1012.68
355,17.16,78.95,1012.68
356,17.16,78.96,1012.69
357,17.16,78.97,1012.66
358,17.16,78.98,1012.68
359,17.16,78.99,1012.69
360,17.16,79.01,1012.71
361,17.16,79.02,1012.68
362,17.15,79.03,1012.73
363,17.15,79.04,1012.73
364,17.15,79.05,1012.76
365,17.15,79.05,1012.78
366,17.15,79.07,1012.75
367,17.15,79.07,1012.74
368,17.15,79.08,1012.74
369,17.15,79.09,1012.75
370,17.14,79.09,1012.76
371,17.14,79.11,1012.74
372,17.13,79.12,1012.68
373,17.13,79.14,1012.72
374,17.13,79.15,1012.7
375,17.13,79.16,1012.73
376,17.13,79.17,1012.71
377,17.13,79.18,1012.69
378,17.13,79.19,1012.68
379,17.13,79.19,1012.69
380,17.14,79.2,1012.72
381,17.13,79.22,1012.69
382,17.13,79.22,1012.68
383,17.13,79.23,1012.68
384,17.13,79.24,1012.68
385,17.12,79.25,1012.69
386,17.12,79.26,1012.69
387,17.13,79.27,1012.66
388,17.12,79.27,1012.7
389,17.11,79.29,1012.7
390,17.12,79.3,1012.71
391,17.12,79.31,1012.72
392,17.11,79.32,1012.69
393,17.11,79.33,1012.72
394,17.11,79.34,1012.74
395,17.1,79.36,1012.74
396,17.11,79.37,1012.73
397,17.11,79.38,1012.73
398,17.11,79.38,1012.73
399,17.1,79.4,1012.74
400,17.1,79.42,1012.71
401,17.1,79.42,1012.73
402,17.1,79.44,1012.79
403,17.1,79.47,1012.76
404,17.09,79.48,1012.68
405,17.1,79.49,1012.7
406,17.1,79.5,1012.73
407,17.09,79.5,1012.73
408,17.09,79.52,1012.71
409,17.1,79.54,1012.7
410,17.09,79.54,1012.71
411,17.09,79.55,1012.7
412,17.09,79.57,1012.68
413,17.09,79.57,1012.67
414,17.09,79.58,1012.64
415,17.09,79.59,1012.68
416,17.08,79.6,1012.63
417,17.09,79.61,1012.64
418,17.09,79.62,1012.62
419,17.09,79.62,1012.59
420,17.08,79.65,1012.58
421,17.08,79.67,1012.61
422,17.08,79.68,1012.6
423,17.08,79.69,1012.62
424,17.08,79.69,1012.6
425,17.08,79.71,1012.59
426,17.08,79.72,1012.56
427,17.08,79.72,1012.6
428,17.08,79.73,1012.57
429,17.07,79.75,1012.59
430,17.07,79.75,1012.57
431,17.07,79.76,1012.58
432,17.07,79.77,1012.58
433,17.08,79.78,1012.61
434,17.06,79.79,1012.54
435,17.07,79.79,1012.57
436,17.07,79.81,1012.53
437,17.06,79.82,1012.53
438,17.06,79.83,1012.51
439,17.06,79.83,1012.52
440,17.07,79.86,1012.55
441,17.07,79.86,1012.56
442,17.06,79.87,1012.53
443,17.06,79.88,1012.57
444,17.06,79.89,1012.53
445,17.07,79.9,1012.51
446,17.07,79.91,1012.53
447,17.06,79.91,1012.48
448,17.06,79.94,1012.49
449,17.05,79.95,1012.48
450,17.05,79.96,1012.47
451,17.05,79.97,1012.48
452,17.06,79.98,1012.49
453,17.05,79.98,1012.51
454,17.05,79.99,1012.5
455,17.05,80,1012.51
456,17.05,80.01,1012.49
457,17.04,80.03,1012.48
458,17.05,80.04,1012.52
459,17.05,80.05,1012.51
460,17.05,80.06,1012.49
461,17.05,80.06,1012.46
462,17.05,80.07,1012.49
463,17.05,80.07,1012.49
464,17.05,80.09,1012.46
465,17.05,80.09,1012.5
466,17.04,80.1,1012.46
467,17.05,80.11,1012.48
468,17.05,80.11,1012.44
469,17.05,80.12,1012.49
470,17.05,80.14,1012.47
471,17.04,80.15,1012.47
472,17.04,80.15,1012.44
473,17.04,80.16,1012.47
474,17.04,80.17,1012.47
475,17.04,80.17,1012.45
476,17.04,80.2,1012.47
477,17.04,80.21,1012.46
478,17.03,80.21,1012.46
479,17.04,80.22,1012.47
480,17.03,80.23,1012.46
481,17.03,80.23,1012.42
482,17.04,80.25,1012.45
483,17.04,80.26,1012.44
484,17.03,80.29,1012.41
485,17.03,80.3,1012.42
486,17.04,80.31,1012.46
487,17.03,80.32,1012.45
488,17.02,80.33,1012.37
489,17.04,80.34,1012.42
490,17.03,80.34,1012.42
491,17.02,80.35,1012.42
492,17.02,80.35,1012.39
493,17.03,80.36,1012.39
494,17.02,80.37,1012.38
495,17.02,80.38,1012.38
496,17.03,80.38,1012.39
497,17.03,80.39,1012.41
498,17.02,80.39,1012.39
499,17.03,80.4,1012.42
500,17.02,80.4,1012.37
501,17.03,80.41,1012.41
502,17.02,80.41,1012.41
503,17.02,80.42,1012.38
504,17.01,80.43,1012.34
505,17.02,80.44,1012.39
506,17.01,80.44,1012.41
507,17.01,80.45,1012.39
508,17.01,80.46,1012.41
509,17.01,80.46,1012.4
510,17.01,80.47,1012.37
511,17.02,80.48,1012.39
512,17.02,80.48,1012.42
513,17.02,80.49,1012.42
514,17.01,80.5,1012.4
515,17.01,80.51,1012.39
516,17.01,80.51,1012.44
517,17.01,80.51,1012.42
518,17.01,80.52,1012.41
519,17.01,80.53,1012.43
520,17.01,80.53,1012.4
521,17.01,80.54,1012.42
522,17.01,80.54,1012.41
523,17,80.56,1012.43
524,17.01,80.56,1012.44
525,17.01,80.56,1012.44
526,17.01,80.57,1012.44
527,17.01,80.59,1012.46
528,17.01,80.6,1012.47
529,17,80.6,1012.43
530,17.01,80.61,1012.45
531,17.01,80.61,1012.47
532,17.01,80.62,1012.47
533,17,80.63,1012.51
534,17,80.64,1012.51
535,17.01,80.64,1012.54
536,17,80.65,1012.51
537,17,80.66,1012.53
538,17,80.66,1012.55
539,17,80.67,1012.57
540,17,80.68,1012.58
541,17,80.69,1012.61
542,17,80.69,1012.63
543,17,80.69,1012.58
544,16.99,80.71,1012.57
545,16.99,80.72,1012.6
546,17,80.72,1012.64
547,16.99,80.73,1012.66
548,16.99,80.74,1012.63
549,16.99,80.74,1012.68
550,16.99,80.75,1012.66
551,17,80.75,1012.67
552,16.99,80.76,1012.65
553,16.99,80.76,1012.71
554,16.99,80.77,1012.66
555,16.99,80.77,1012.68
556,16.99,80.78,1012.69
557,16.99,80.79,1012.69
558,16.98,80.8,1012.65
559,16.99,80.79,1012.67
560,16.99,80.8,1012.71
561,16.98,80.81,1012.67
562,16.98,80.83,1012.69
563,16.98,80.83,1012.68
564,16.99,80.83,1012.68
565,16.98,80.83,1012.66
566,16.98,80.85,1012.65
567,16.99,80.85,1012.68
568,16.98,80.86,1012.65
569,16.99,80.86,1012.65
570,16.98,80.87,1012.64
571,16.98,80.87,1012.65
572,16.98,80.88,1012.64
573,16.98,80.89,1012.67
574,16.98,80.89,1012.65
575,16.98,80.89,1012.67
576,16.98,80.9,1012.66
577,16.98,80.91,1012.64
578,16.98,80.91,1012.67
579,16.98,80.92,1012.68
580,16.98,80.92,1012.66
581,16.97,80.93,1012.66
582,16.98,80.94,1012.66
583,16.97,80.95,1012.65
584,16.98,80.95,1012.69
585,16.97,80.95,1012.66
586,16.97,80.97,1012.69
587,16.97,80.98,1012.68
588,16.98,80.98,1012.74
589,16.97,80.99,1012.68
590,16.98,80.99,1012.72
591,16.98,81,1012.73
592,16.97,81,1012.71
593,16.97,81.01,1012.7
594,16.97,81.01,1012.74
595,16.97,81.02,1012.74
596,16.97,81.02,1012.74
597,16.96,81.03,1012.71
598,16.97,81.03,1012.72
599,16.97,81.04,1012.7
600,16.97,81.04,1012.73
601,16.97,81.05,1012.7
602,16.97,81.05,1012.71
603,16.97,81.05,1012.72
604,16.97,81.07,1012.73
605,16.96,81.07,1012.7
606,16.96,81.08,1012.73
607,16.97,81.08,1012.74
608,16.97,81.08,1012.71
609,16.96,81.09,1012.71
610,16.96,81.05,1012.69
611,16.96,81.1,1012.69
612,16.96,81.11,1012.7
613,16.96,81.11,1012.64
614,16.96,81.12,1012.67
615,16.97,81.12,1012.69
616,16.95,81.13,1012.65
617,16.97,81.13,1012.67
618,16.96,81.14,1012.66
619,16.95,81.14,1012.65
620,16.95,81.15,1012.67
621,16.96,81.15,1012.66
622,16.95,81.16,1012.65
623,16.96,81.16,1012.65
624,16.95,81.17,1012.64
625,16.95,81.17,1012.65
626,16.95,81.17,1012.64
627,16.96,81.18,1012.65
628,16.95,81.18,1012.62
629,16.95,81.19,1012.63
630,16.95,81.19,1012.67
631,16.95,81.2,1012.64
632,16.95,81.2,1012.6
633,16.96,81.21,1012.65
634,16.95,81.21,1012.64
635,16.96,81.22,1012.69
636,16.95,81.22,1012.63
637,16.95,81.23,1012.63
638,16.96,81.24,1012.61
639,16.95,81.24,1012.61
640,16.95,81.25,1012.59
641,16.95,81.25,1012.61
642,16.95,81.26,1012.61
643,16.94,81.26,1012.61
644,16.94,81.27,1012.6
645,16.95,81.27,1012.61
646,16.94,81.28,1012.62
647,16.94,81.28,1012.62
648,16.95,81.29,1012.63
649,16.94,81.29,1012.61
650,16.95,81.3,1012.66
651,16.95,81.31,1012.65
652,16.95,81.3,1012.66
653,16.94,81.31,1012.66
654,16.94,81.31,1012.65
655,16.94,81.32,1012.62
656,16.94,81.32,1012.64
657,16.94,81.33,1012.66
658,16.94,81.33,1012.64
659,16.94,81.33,1012.64
660,16.94,81.34,1012.65
661,16.95,81.35,1012.67
662,16.95,81.35,1012.68
663,16.94,81.35,1012.68
664,16.94,81.36,1012.67
665,16.94,81.36,1012.71
666,16.94,81.37,1012.72
667,16.94,81.37,1012.7
668,16.94,81.38,1012.71
669,16.94,81.38,1012.67
670,16.94,81.4,1012.69
671,16.94,81.4,1012.69
672,16.94,81.41,1012.69
673,16.94,81.42,1012.73
674,16.93,81.42,1012.72
675,16.94,81.44,1012.76
676,16.94,81.43,1012.72
677,16.94,81.44,1012.77
678,16.94,81.45,1012.74
679,16.94,81.45,1012.79
680,16.94,81.45,1012.76
681,16.93,81.45,1012.76
682,16.94,81.46,1012.8
683,16.94,81.47,1012.77
684,16.94,81.49,1012.78
685,16.94,81.49,1012.78
686,16.94,81.5,1012.79
687,16.94,81.5,1012.81
688,16.94,81.51,1012.83
689,16.94,81.51,1012.82
690,16.93,81.5,1012.82
691,16.93,81.51,1012.81
692,16.94,81.52,1012.82
693,16.93,81.52,1012.83
694,16.93,81.52,1012.83
695,16.93,81.52,1012.83
696,16.93,81.54,1012.85
697,16.93,81.54,1012.82
698,16.93,81.54,1012.85
699,16.93,81.56,1012.83
700,16.93,81.56,1012.83
701,16.93,81.56,1012.81
702,16.93,81.57,1012.79
703,16.92,81.57,1012.81
704,16.93,81.57,1012.81
705,16.92,81.58,1012.8
706,16.93,81.58,1012.8
707,16.93,81.59,1012.77
708,16.93,81.59,1012.8
709,16.93,81.59,1012.81
710,16.92,81.6,1012.79
711,16.92,81.6,1012.81
712,16.93,81.61,1012.83
713,16.93,81.61,1012.81
714,16.93,81.61,1012.79
715,16.92,81.62,1012.83
716,16.93,81.63,1012.83
717,16.93,81.63,1012.82
718,16.93,81.63,1012.82
719,16.93,81.64,1012.85
720,16.92,81.65,1012.83
721,16.93,81.65,1012.85
722,16.93,81.65,1012.83
723,16.92,81.66,1012.87
724,16.92,81.67,1012.87
725,16.93,81.67,1012.84
726,16.93,81.67,1012.88
727,16.92,81.67,1012.87
728,16.93,81.68,1012.88
729,16.92,81.69,1012.87
730,16.93,81.69,1012.88
731,16.92,81.7,1012.87
732,16.93,81.69,1012.89
733,16.92,81.7,1012.86
734,16.92,81.71,1012.86
735,16.93,81.72,1012.89
736,16.93,81.72,1012.9
737,16.92,81.73,1012.89
738,16.93,81.73,1012.87
739,16.92,81.74,1012.82
740,16.92,81.74,1012.84
741,16.92,81.74,1012.85
742,16.92,81.74,1012.87
743,16.92,81.75,1012.85
744,16.91,81.75,1012.86
745,16.92,81.75,1012.84
746,16.91,81.77,1012.82
747,16.92,81.77,1012.84
748,16.91,81.77,1012.84
749,16.91,81.78,1012.84
750,16.91,81.78,1012.82
751,16.92,81.78,1012.82
752,16.92,81.79,1012.86
753,16.91,81.79,1012.84
754,16.92,81.8,1012.86
755,16.91,81.8,1012.89
756,16.91,81.81,1012.82
757,16.91,81.81,1012.87
758,16.92,81.82,1012.86
759,16.91,81.82,1012.88
760,16.92,81.82,1012.88
761,16.91,81.82,1012.9
762,16.91,81.83,1012.91
763,16.91,81.83,1012.9
764,16.91,81.83,1012.9
765,16.91,81.84,1012.93
766,16.91,81.84,1012.94
767,16.91,81.85,1012.88
768,16.91,81.85,1012.9
769,16.91,81.85,1012.91
770,16.91,81.86,1012.92
771,16.91,81.87,1012.94
772,16.91,81.86,1012.96
773,16.91,81.87,1012.95
774,16.91,81.87,1012.97
775,16.91,81.88,1012.93
776,16.91,81.88,1012.96
777,16.91,81.89,1012.96
778,16.91,81.89,1012.99
779,16.91,81.9,1012.96
780,16.91,81.89,1012.99
781,16.91,81.9,1013.03
782,16.91,81.91,1012.99
783,16.91,81.91,1013.01
784,16.91,81.91,1013.01
785,16.91,81.91,1013
786,16.91,81.92,1013
787,16.9,81.92,1013
788,16.9,81.92,1012.96
789,16.9,81.92,1012.99
790,16.91,81.93,1012.99
791,16.9,81.93,1012.93
792,16.9,81.94,1012.98
793,16.9,81.94,1013
794,16.9,81.95,1013
795,16.9,81.95,1013.02
796,16.9,81.96,1013.01
797,16.9,81.96,1013.06
798,16.9,81.96,1013.02
799,16.9,81.97,1013.01
800,16.89,81.97,1013.01
801,16.9,81.98,1013.03
802,16.9,81.99,1013.02
803,16.91,81.99,1013.04
804,16.9,81.99,1012.97
805,16.9,82,1013
806,16.91,82.01,1012.98
807,16.9,82.01,1012.92
808,16.9,82.01,1012.96
809,16.9,82.02,1012.97
810,16.9,82.02,1012.94
811,16.9,82.02,1012.98
812,16.9,82.03,1012.99
813,16.9,82.04,1012.98
814,16.91,82.04,1013.02
815,16.9,82.04,1013.03
816,16.9,82.05,1012.98
817,16.9,82.05,1013
818,16.9,82.05,1013.03
819,16.9,82.05,1013.08
820,16.9,82.06,1013.08
821,16.91,82.06,1013.09
822,16.9,82.06,1013.08
823,16.89,82.07,1013.09
824,16.9,82.08,1013.12
825,16.89,82.08,1013.1
826,16.89,82.08,1013.12
827,16.9,82.1,1013.09
828,16.89,82.09,1013.1
829,16.89,82.09,1013.08
830,16.89,82.09,1013.12
831,16.9,82.1,1013.12
832,16.9,82.11,1013.15
833,16.89,82.1,1013.11
834,16.9,82.13,1013.11
835,16.89,82.12,1013.12
836,16.89,82.13,1013.11
837,16.89,82.13,1013.14
838,16.9,82.15,1013.19
839,16.89,82.15,1013.12
840,16.9,82.15,1013.18
841,16.9,82.16,1013.16
842,16.89,82.16,1013.16
843,16.89,82.16,1013.14
844,16.88,82.15,1013.13
845,16.89,82.17,1013.17
846,16.89,82.17,1013.17
847,16.89,82.17,1013.15
848,16.89,82.18,1013.16
849,16.89,82.19,1013.14
850,16.89,82.19,1013.14
851,16.89,82.19,1013.16
852,16.89,82.2,1013.16
853,16.89,82.2,1013.14
854,16.88,82.2,1013.17
855,16.89,82.21,1013.23
856,16.9,82.21,1013.23
857,16.88,82.22,1013.26
858,16.88,82.23,1013.25
859,16.88,82.23,1013.24
860,16.88,82.23,1013.21
861,16.88,82.23,1013.21
862,16.89,82.24,1013.24
863,16.88,82.24,1013.21
864,16.88,82.24,1013.25
865,16.89,82.25,1013.29
866,16.89,82.25,1013.31
867,16.89,82.26,1013.34
868,16.88,82.26,1013.31
869,16.88,82.28,1013.21
870,16.88,82.28,1013.24
871,16.88,82.28,1013.23
872,16.88,82.29,1013.21
873,16.88,82.29,1013.24
874,16.88,82.3,1013.23
875,16.89,82.3,1013.22
876,16.89,82.3,1013.25
877,16.88,82.31,1013.18
878,16.88,82.31,1013.2
879,16.88,82.31,1013.2
880,16.87,82.31,1013.2
881,16.88,82.31,1013.22
882,16.87,82.32,1013.15
883,16.88,82.32,1013.23
884,16.88,82.33,1013.26
885,16.87,82.33,1013.21
886,16.87,82.34,1013.25
887,16.87,82.34,1013.2
888,16.89,82.34,1013.24
889,16.88,82.34,1013.24
890,16.88,82.35,1013.22
891,16.87,82.35,1013.21
892,16.88,82.35,1013.18
893,16.87,82.35,1013.22
894,16.88,82.36,1013.22
895,16.88,82.36,1013.22
896,16.88,82.36,1013.21
897,16.88,82.37,1013.25
898,16.87,82.36,1013.2
899,16.87,82.37,1013.19
900,16.87,82.37,1013.16
901,16.87,82.38,1013.15
902,16.87,82.38,1013.12
903,16.87,82.38,1013.13
904,16.87,82.39,1013.12
905,16.88,82.39,1013.11
906,16.86,82.39,1013.11
907,16.86,82.39,1013.08
908,16.87,82.4,1013.14
909,16.87,82.4,1013.14
910,16.87,82.41,1013.15
911,16.87,82.41,1013.15
912,16.87,82.41,1013.14
913,16.87,82.41,1013.13
914,16.88,82.42,1013.12
915,16.87,82.42,1013.15
916,16.87,82.42,1013.11
917,16.88,82.43,1013.14
918,16.87,82.43,1013.09
919,16.87,82.44,1013.08
920,16.87,82.44,1013.09
921,16.87,82.44,1013.16
922,16.88,82.44,1013.17
923,16.87,82.45,1013.15
924,16.87,82.45,1013.19
925,16.86,82.45,1013.11
926,16.87,82.45,1013.2
927,16.87,82.45,1013.2
928,16.86,82.46,1013.15
929,16.87,82.46,1013.15
930,16.87,82.47,1013.16
931,16.87,82.47,1013.16
932,16.87,82.48,1013.19
933,16.87,82.48,1013.17
934,16.87,82.48,1013.2
935,16.86,82.49,1013.15
